nct_id,url,brief_title,official_title,overall_status,study_type,phase,primary_purpose,category,participant_stage,enrollment,lead_sponsor,interventions,conditions,countries,has_us_site,country_count,location_count,multinational,has_public_locations,study_first_post_date,last_update_post_date,start_date,primary_completion_date,completion_date,primary_outcomes,excluded_reason
NCT06159673,https://clinicaltrials.gov/study/NCT06159673,ACP-204 in Adults With Alzheimer's Disease Psychosis,"A Master Protocol for Three Independent, Seamlessly Enrolling, Double-blind, Placebo-controlled Efficacy and Safety Studies of ACP-204 in Adults With Alzheimer's Disease Psychosis",RECRUITING,INTERVENTIONAL,PHASE2+PHASE3,TREATMENT,Other interventional treatment research,Care partners or care systems,1074,ACADIA Pharmaceuticals Inc.,ACP-204; Placebo,Alzheimer's Disease Psychosis,Brazil; Bulgaria; Chile; Czechia; France; Italy; Mexico; Serbia; South Korea; Spain; Taiwan; United States,True,12,148,True,True,2023-12-07,2026-07-24,2023-11-14,2028-01,2028-02,"Scale for the Assessment of Positive Symptoms-Hallucinations and Delusions subscales (SAPS-H+D) total score change from baseline (Substudies 1, 2A, 2B)","Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06189963,https://clinicaltrials.gov/study/NCT06189963,Clinical Study of SNK01 in Participants With Moderate Alzheimer's Disease,"A Phase I/IIa, Study to Evaluate the Safety, Tolerability and Exploratory Efficacy of SNK01 in Participants With Moderate Alzheimer's Disease",RECRUITING,INTERVENTIONAL,PHASE1+PHASE2,TREATMENT,"Diagnostics, imaging, and biomarkers",Care partners or care systems,36,"NKGen Biotech, Inc.",SNK01; Placebo,Moderate Alzheimer Disease,Canada; United States,True,2,8,True,True,2024-01-05,2026-07-02,2023-11-21,2026-12,2027-06,Number of participants with dose-limiting toxicity; Maximum tolerated dose determination; Number of participants with treatment-related adverse events as assessed by CTCAE v5.0,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06194799,https://clinicaltrials.gov/study/NCT06194799,ACP-204 in Adults With Alzheimer's Disease Psychosis Open Label Extension Study,"A 52-Week, Open-Label Extension Study of ACP-204 in Adults With Alzheimer's Disease Psychosis",ENROLLING_BY_INVITATION,INTERVENTIONAL,PHASE3,TREATMENT,Other interventional treatment research,Care partners or care systems,752,ACADIA Pharmaceuticals Inc.,ACP-204,Alzheimer's Disease Psychosis,Brazil; Bulgaria; Chile; Czechia; France; Italy; Mexico; Serbia; South Korea; Spain; Taiwan; United States,True,12,76,True,True,2024-01-08,2026-07-02,2024-04-23,2029-04,2029-05,Treatment-emergent adverse events,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06274528,https://clinicaltrials.gov/study/NCT06274528,DORA and LP in Alzheimer's Disease Biomarkers,Effect of a Dual Orexin Receptor Antagonist on CSF Alzheimer's Disease Biomarkers,RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,"Diagnostics, imaging, and biomarkers",Mixed or not specified,201,University of Minnesota,Lemborexant 10 mg; Lemborexant 20mg; Placebo,Alzheimer Disease,United States,True,1,1,False,True,2024-02-23,2026-07-13,2024-03-11,2030-03-31,2030-03-31,Changes plasma pT181/T181 ratio of lemborexant 10 and 20 mg compared to Placebo,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06313944,https://clinicaltrials.gov/study/NCT06313944,German Registry of Alzheimer's Disease Treated With Transcranial Pulse Stimulation,German (GE) Multicenter Prospective Data Collection (Registry) on Treatment With Transcranial Pulse Wave Stimulation (TPS) in Patients With Alzheimer's Disease (A),RECRUITING,OBSERVATIONAL,NOT_APPLICABLE,,"Diagnostics, imaging, and biomarkers",Mixed or not specified,100,"Heinrich-Heine University, Duesseldorf",Registry,Alzheimer Disease,Germany,False,1,6,False,True,2024-03-15,2026-07-16,2025-08-06,2026-10-01,2026-10-01,Number of (Serious) Adverse Events; Number of adverse device effects,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06362824,https://clinicaltrials.gov/study/NCT06362824,Promoting Physical Activity in Older Hispanic/Latino(a) Adults,De Pie y a Movernos Study: Promoting Physical Activity in Older Hispanic/Latino(a) Adults,RECRUITING,INTERVENTIONAL,NA,PREVENTION,Lifestyle and multidomain,Moderate or later dementia,130,Kaiser Permanente,De Pie Intervention; Active Comparison Group: Healthy Actions And Lifestyles To Avoid Dementia (HALT-AD),"Sedentary Behavior; Physical Inactivity; Alzheimer Disease, Protection Against",United States,True,1,2,False,True,2024-04-12,2026-07-22,2024-09-24,2026-12-31,2027-05-31,Change in Moderate Intensity Physical Activity (MIPA) minutes/day,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06384573,https://clinicaltrials.gov/study/NCT06384573,DIAN-TU Amyloid Removal Trial (ART) in Dominantly Inherited Alzheimer's Disease,The Dominantly Inherited Alzheimer Network Trials Unit (DIAN-TU) Amyloid Removal Trial (ART): A Phase IIIb/IV Open-Label Study of Lecanemab to Evaluate Prevention and Progression of Dominantly Inherited Alzheimer's Disease,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,Tau-targeting approaches,Mixed or not specified,40,Washington University School of Medicine,lecanemab,"Alzheimer's Disease; Dementia; Alzheimer's Disease, Familial",Australia; United Kingdom; United States,True,3,6,True,True,2024-04-25,2026-07-27,2024-06-10,2030-06,2030-06,The primary endpoint for the final analysis is the time to recurrent progression of Clinical Dementia Rating - Sum of Boxes (CDR-SB).,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06403345,https://clinicaltrials.gov/study/NCT06403345,A Feasiblity Study of Green Activity Program for People Living With Memory Challenges,A Feasiblity Study of Green Activity Program for People Living With Memory Challenges,RECRUITING,INTERVENTIONAL,NA,SUPPORTIVE_CARE,"Diagnostics, imaging, and biomarkers",Subjective cognitive concerns,40,Indiana University,Green Activity Program,Mild Cognitive Impairment; Alzheimer Disease; Subjective Cognitive Decline (SCD),United States,True,1,1,False,True,2024-05-07,2026-07-15,2024-07-17,2026-11-30,2026-12-30,Feasibility intervention completion rate; Other Feasibility measures; Acceptability,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06507254,https://clinicaltrials.gov/study/NCT06507254,Polyphenols and Cognitive Decline,MAEVE: Microbiota Mediated Flavonoid Metabolites for Cognitive Health,RECRUITING,INTERVENTIONAL,NA,PREVENTION,"Care, behavior, and quality of life",Mixed or not specified,300,"University of California, Los Angeles",Polyphenol Supplement; Placebo Supplement,Cognitive Decline; Cognitive Dysfunction,United States,True,1,1,False,True,2024-07-18,2026-06-11,2025-01-09,2029-06-30,2029-12-31,"Differences in Polyphenol-derived metabolite concentrations pre, mid, & post intervention - stool; Differences in Polyphenol-derived metabolite concentrations pre, mid, & post intervention - blood; Differences in microbiome levels pre, mid, & post intervention - Stool","Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06540833,https://clinicaltrials.gov/study/NCT06540833,A Study to Assess the Efficacy and Safety of ITI-1284 in the Treatment of Psychosis Associated With Alzheimer's Disease,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Flexible-dose Study to Assess the Efficacy, Safety, and Tolerability of ITI 1284 in Patients With Psychosis Associated With Alzheimer's Disease",RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,Other interventional treatment research,Care partners or care systems,370,"Intra-Cellular Therapies, Inc.",ITI-1284; Placebo,Psychosis Associated With Alzheimer's Disease,Bulgaria; Croatia; Czechia; Poland; Romania; Serbia; Slovakia; Spain; United States,True,9,65,True,True,2024-08-06,2026-07-24,2024-08-15,2028-09-30,2028-12-29,BEHAVE-AD psychosis subscale score,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06544616,https://clinicaltrials.gov/study/NCT06544616,A Study of JNJ-64042056 in Participants With Preclinical Alzheimer's Disease,"A Multicenter, Randomized, Placebo-Controlled, Double-Blind, Parallel-Group Study, to Assess Efficacy, Safety and Immunogenicity of JNJ-64042056, a Phosphorylated Tau Targeted Active Immunotherapy, in Participants With Preclinical Alzheimer's Disease",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,"Diagnostics, imaging, and biomarkers",Preclinical or elevated-risk,55,"Janssen Pharmaceutica N.V., Belgium",JNJ-64042056; Placebo,Alzheimer Disease,Australia; Belgium; France; Germany; Japan; Spain; Sweden; United Kingdom; United States,True,9,90,True,True,2024-08-09,2026-07-06,2024-07-22,2026-12-22,2027-01-05,Change From Baseline in Brain Tau Burden as Measured by Tau PET in Specified Regions of Interest (ROI),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06563895,https://clinicaltrials.gov/study/NCT06563895,Acoramidis Transthyretin Amyloidosis Prevention Trial in the Young (ACT-EARLY) Study in Asymptomatic Carriers of a Pathogenic TTR Variant,"A Phase 3, Randomized, Multicenter, Double-Blind, Placebo-Controlled Study of Acoramidis for Transthyretin Amyloidosis Prevention in the Young (ACT-EARLY Trial)",RECRUITING,INTERVENTIONAL,PHASE3,PREVENTION,Amyloid-targeting approaches,Preclinical or elevated-risk,587,"Eidos Therapeutics, a BridgeBio company",Acoramidis; Placebo oral tablet,Amyloidosis; Amyloid Cardiomyopathy; Transthyretin Amyloidosis; Cardiomyopathies; Heart Diseases; Polyneuropathies,Argentina; Australia; Belgium; Brazil; Canada; Denmark; France; Germany; Greece; Ireland; Italy; Japan; Malaysia; Martinique; Mexico; Netherlands; Portugal; Singapore; South Korea; Spain; Sweden; Taiwan; United Kingdom; United States,True,24,103,True,True,2024-08-21,2026-06-29,2025-05-12,2031-10,2032-12,"Time to development of ATTR (ATTR-CM or ATTR-PN, whichever occurs first; centrally adjudicated)","Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06585787,https://clinicaltrials.gov/study/NCT06585787,A Study to Evaluate KarXT as a Treatment for Psychosis Associated With Alzheimer's Disease (ADEPT-4),"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Parallel Group Study to Evaluate the Safety and Efficacy of KarXT for the Treatment of Psychosis Associated With Alzheimer's Disease",RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,Other interventional treatment research,Moderate or later dementia,406,"Karuna Therapeutics, Inc., a Bristol Myers Squibb company",KarXT; Placebo,Alzheimer Disease,Argentina; Belgium; Brazil; Bulgaria; China; Croatia; France; Germany; Greece; Hungary; India; Israel; Italy; Japan; Poland; Portugal; Puerto Rico; Romania; Serbia; Slovakia; South Korea; Spain; Turkey (Türkiye); Ukraine; United States,True,25,292,True,True,2024-09-19,2026-07-07,2024-09-26,2026-11-24,2026-12-22,Change from baseline in Neuropsychiatric Inventory-Clinician: Hallucinations and Delusions (NPI-C: H+D) score,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06647498,https://clinicaltrials.gov/study/NCT06647498,A Study of a Potential Disease Modifying Treatment in Individuals at Risk for or With a Type of Early Onset AD Caused by a Genetic Mutation,"A Phase II/III Multicenter Randomized, Double-Blind, Placebo-Controlled, Two-Stage Adaptive Design, Platform Trial of Investigational Treatments for Primary Prevention of Disease Progression in Dominantly Inherited Alzheimer's Disease",RECRUITING,INTERVENTIONAL,PHASE2+PHASE3,TREATMENT,Neuroinflammation and immune biology,Preclinical or elevated-risk,280,Washington University School of Medicine,Remternetug; Matching Placebo (Remternetug),"Alzheimers Disease; Dementia; Alzheimers Disease, Familial",Argentina; Australia; Canada; Colombia; France; Germany; Italy; Mexico; Netherlands; New Zealand; Puerto Rico; South Korea; Spain; United Kingdom; United States,True,15,37,True,True,2024-10-17,2026-07-27,2024-11-22,2034-03,2034-08,Stage 1: Change in amyloid load as measured by centiloid (CL) [11C]PiB-PET as biomarker endpoint for DIAN-TU-002 remternetug arm,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06649929,https://clinicaltrials.gov/study/NCT06649929,Nuestro Sueno: Cultural Adaptation of a Couples Intervention to Improve PAP Adherence and Sleep Health Among Latino Couples With Implications for Alzheimer's Disease Risk,Nuestro Sueno: Cultural Adaptation of a Couples Intervention to Improve Positive Airway Pressure Adherence and Sleep Health Among Latino Couples With Implications for Alzheimer's Disease Risk,ENROLLING_BY_INVITATION,INTERVENTIONAL,PHASE2,OTHER,"Care, behavior, and quality of life",Moderate or later dementia,80,University of Utah,Couples-based treatment- Patient; Couples-based treatment- Partner; Information control- Patient; Information control- Partner,Sleep Apnea; Sleep Disturbance,United States,True,1,2,False,True,2024-10-21,2026-07-10,2025-03-20,2027-11-01,2028-03-01,Recruitment Feasibility,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06651567,https://clinicaltrials.gov/study/NCT06651567,A Study to Assess the Efficacy and Safety of ITI-1284 in the Treatment of Agitation Associated With Alzheimer's Dementia,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Flexible-dose Study of the Efficacy, Safety, and Tolerability of ITI-1284 in Patients With Agitation Associated With Alzheimer's Dementia",RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,"Care, behavior, and quality of life",Mixed or not specified,320,"Intra-Cellular Therapies, Inc.",ITI-1284; Placebo,Agitation Associated With Alzheimer's Dementia,Bulgaria; Croatia; Czechia; Romania; Serbia; Slovakia; Spain; United States,True,8,70,True,True,2024-10-21,2026-07-23,2024-10-22,2027-12-28,2027-12-28,Cohen-Mansfield Agitation Inventory (CMAI) total score,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06750432,https://clinicaltrials.gov/study/NCT06750432,PMN310 in Patients With Early Alzheimer's Disease (PRECISE-AD),"A Phase 1b, Double-Blind, Placebo-Controlled, Multiple Ascending Dose Study of the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Preliminary Efficacy of PMN310 in Patients With Early Alzheimer's Disease",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE1,TREATMENT,Other interventional treatment research,Care partners or care systems,144,"ProMis Neurosciences, Inc",PMN310; Placebo,"Alzheimer Disease, Early Onset",United States,True,1,22,False,True,2024-12-27,2026-07-13,2024-12-13,2026-12,2026-12,Safety and tolerability of PMN310 following repeat intravenous infusions of PMN310; Biomarker response to PMN310 following repeat intravenous infusions of PMN310; Safety and tolerability of PMN310 following repeat intravenous infusions of PMN310,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06814730,https://clinicaltrials.gov/study/NCT06814730,A Study to Assess THN391 in Subjects With Alzheimer's Disease,"A Double-blind, Randomized, Placebo-controlled, Phase 1b Study to Assess the Safety, Tolerability and Pharmacokinetics of Multiple Ascending Doses of THN391 in Early Alzheimer's Disease Subjects",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE1,TREATMENT,"Diagnostics, imaging, and biomarkers",Early Alzheimer’s disease,19,"Therini Bio, Inc.",THN391; Placebo; THN391; Placebo,"Alzheimer Disease, Early Onset",Netherlands; United Kingdom,False,2,4,True,True,2025-02-07,2026-07-08,2025-07-17,2027-03-31,2027-05-31,To assess the safety and tolerability of multiple doses of THN391 in Early AD subjects via AEs; To assess the safety and tolerability of multiple doses of THN391 in Early AD subjects via SAEs; To assess the pharmacokinetics (PK) of multiple doses of THN391 in Early AD subjects,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06821568,https://clinicaltrials.gov/study/NCT06821568,Home-Based Brain Stimulation for Motoric Cognitive Risk Syndrome,Long-term Home-based Transcranial Electrical Stimulation for Cognitive and Motor Function in Older Adults With an Increased Risk of Dementia: a Randomized Controlled Trial,RECRUITING,INTERVENTIONAL,NA,TREATMENT,"Diagnostics, imaging, and biomarkers",Subjective cognitive concerns,128,Hebrew SeniorLife,Personalized Transcranial Direct Current Stimulation (tDCS); Active-Sham,Alzheimer Disease and Related Dementias; Cognition; Mobility Disability,Israel; United States,True,2,2,True,True,2025-02-12,2026-07-16,2025-09-02,2029-03,2029-06,Dual task cost to gait speed,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06847321,https://clinicaltrials.gov/study/NCT06847321,Study of LHP588 in Subjects With P. Gingivalis-Positive Alzheimer's Disease,"A Randomized, Double-Blind, Placebo-Controlled Study of LHP588 in Subjects With P. Gingivalis-Positive Alzheimer's Disease",RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,"Care, behavior, and quality of life",Care partners or care systems,300,"Lighthouse Pharmaceuticals, Inc.",LHP588; LHP588; Placebo Drug,Alzheimer Disease; Alzheimer Disease Due to P. Gingivalis,United States,True,1,39,False,True,2025-02-26,2026-07-14,2025-02-17,2029-01-31,2029-03-15,Change in ADAS-Cog11,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06850870,https://clinicaltrials.gov/study/NCT06850870,Door-Through-Door Companion Rideshare Technology for Individuals With Alzheimer's Disease and Related Dementias (AD/ADRD),Onward Door-Through-Door Companion Rideshare Technology to Improve Care for Older Adults and Individuals With Alzheimer's Disease and Related Dementias (AD/ADRD),ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE1,SUPPORTIVE_CARE,Other interventional treatment research,Subjective cognitive concerns,120,"Onward Health, Inc",Door-through-door companion rideshare; Curb-to-curb rideshare services,Alzheimer Disease or Associated Disorder; Dementia; Cognitive Decline,United States,True,1,1,False,True,2025-02-27,2026-07-21,2025-08-29,2026-12-28,2026-12-28,Appointment Adherence,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06862960,https://clinicaltrials.gov/study/NCT06862960,Ozanimod in Patients With Alzheimer's Disease,Ozanimod for the Treatment of Alzheimer's Disease: a Proof-of-concept Study,RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,"Diagnostics, imaging, and biomarkers",Preclinical or elevated-risk,40,ChenXiaoChun,Ozanimod; Conventional medication,Alzheimer Disease,China,False,1,1,False,True,2025-03-07,2026-07-27,2025-08-13,2027-06-30,2027-12-30,Mean Absolute Change From Baseline in Brain Amyloid Plaque on 18F-florbetaben PET Scan on Ozanimod Group Versus Control Group; Changes in serum GFAP,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06880406,https://clinicaltrials.gov/study/NCT06880406,Mitochondrial Function and Metabolomic Profile in Alzheimer's Disease and Related Dementias,Early Alterations of Peripheral Mitochondrial Function and Metabolomic Profile in Patients With Alzheimer's Disease and Related Dementias,RECRUITING,INTERVENTIONAL,NA,BASIC_SCIENCE,"Diagnostics, imaging, and biomarkers",Early Alzheimer’s disease,250,Centre Hospitalier Universitaire de Nice,MMSE and blood draw,Alzheimer Disease,France,False,1,1,False,True,2025-03-17,2026-06-18,2025-07-01,2028-07-01,2029-04-01,Mitochondrial oxygen consumption of peripheral blood cells; Mitochondrial oxygen consumption of peripheral blood cells,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06923501,https://clinicaltrials.gov/study/NCT06923501,Evaluation of a Mobile App Program for Coping With Cancer,"Feasibility, Acceptability, and Preliminary Outcomes of a Mobile App for Coping With Cancer",RECRUITING,INTERVENTIONAL,NA,SUPPORTIVE_CARE,"Care, behavior, and quality of life",Mixed or not specified,50,Yale University,Tools for Coping with Cancer Calm Health mobile app program,Cancer,United States,True,1,1,False,True,2025-04-11,2026-06-15,2026-06-11,2027-06-01,2027-10-01,Participant interest; Accrual; Participant completion,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06937229,https://clinicaltrials.gov/study/NCT06937229,A Study to Evaluate the Long-term Efficacy and Safety of KarXT + KarX-EC for Agitation in Alzheimer's Disease (ADAGIO-3),"A Phase 3, Open-label Extension Study to Evaluate the Long-term Safety and Tolerability of KarXT + KarX-EC for the Treatment of Agitation Associated With Alzheimer's Disease (ADAGIO-3)",RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,"Care, behavior, and quality of life",Care partners or care systems,650,Bristol-Myers Squibb,KarXT; KarX-EC,Alzheimer Disease; Agitation,Argentina; Brazil; Bulgaria; Canada; Chile; China; Croatia; Czechia; France; Germany; Greece; Hungary; India; Israel; Italy; Japan; Mexico; Poland; Portugal; Romania; South Korea; Spain; Taiwan; Ukraine; United Kingdom; United States,True,26,256,True,True,2025-04-22,2026-07-01,2025-12-02,2029-06-22,2029-07-20,Number of Participants With Treatment Emergent Adverse Events (TEAEs),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06947941,https://clinicaltrials.gov/study/NCT06947941,A Study to Evaluate Safety and Efficacy of KarXT + KarX-EC as a Treatment for Psychosis Associated With Alzheimer's Disease (ADEPT-5),"A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel Group Study to Evaluate the Safety and Efficacy of KarXT + KarX-EC for the Treatment of Psychosis Associated With Alzheimer's Disease",RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,"Care, behavior, and quality of life",Mixed or not specified,325,Bristol-Myers Squibb,KarXT; KarX-EC; KarXT + KarX-EC Arm Matching Placebo,Alzheimer Disease; Psychosis,Australia; Canada; Japan; United Kingdom; United States,True,5,22,True,True,2025-04-27,2026-06-30,2026-03-25,2028-02-21,2028-03-20,Change From Baseline in Neuropsychiatric Inventory-Clinician: Hallucinations and Delusions (NPI-C: H+D) Score,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06957418,https://clinicaltrials.gov/study/NCT06957418,Alzheimer's Tau Platform: Master Protocol,The Alzheimer's Disease Tau Platform Clinical Trial,RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,Tau-targeting approaches,Preclinical or elevated-risk,900,Paul S. Aisen,AADvac1; Tau2,Preclinical Alzheimer's Disease; Alzheimer Disease; Prodromal Alzheimer's Disease,United States,True,1,1,False,True,2025-05-04,2026-07-09,2026-07-06,2028-08-31,2028-08-31,Reduction of brain tau deposition as measured by tau positron emission tomography (PET),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06976203,https://clinicaltrials.gov/study/NCT06976203,A Study to Evaluate the Efficacy and Safety of KarXT + KarX-EC for Cognitive Impairment in Alzheimer's Disease (MINDSET 2),"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of KarXT + KarX-EC for the Treatment of Cognitive Impairment Associated With Mild to Moderate Alzheimer's Disease (MINDSET 2)",RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,Other interventional treatment research,Care partners or care systems,586,Bristol-Myers Squibb,KarXT; KarX-EC; Placebo,Alzheimer's Disease,Argentina; Australia; Brazil; Finland; France; Germany; Greece; Italy; Japan; Netherlands; Poland; Portugal; Puerto Rico; Romania; Spain; United Kingdom; United States,True,17,126,True,True,2025-05-16,2026-07-17,2025-07-21,2028-09-11,2029-02-23,Change from baseline in Alzheimer's Disease Assessment Scale-Cognitive Subscale 11 (ADAS-Cog11); Clinician's Interview-Based Impression Plus Caregiver Input (CIBIC+),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06976216,https://clinicaltrials.gov/study/NCT06976216,A Study to Evaluate the Efficacy and Safety of KarXT + KarX-EC for Cognitive Impairment in Alzheimer's Disease,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of KarXT + KarX-EC for the Treatment of Cognitive Impairment Associated With Mild to Moderate Alzheimer's Disease (MINDSET 1)",RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,Other interventional treatment research,Care partners or care systems,586,Bristol-Myers Squibb,KarXT; KarX-EC; Placebo,Alzheimer's Disease,Argentina; Australia; Brazil; Canada; Chile; Croatia; Czechia; France; Germany; Greece; India; Italy; Netherlands; Poland; Puerto Rico; Romania; South Korea; Spain; United States,True,19,116,True,True,2025-05-16,2026-06-26,2025-07-14,2028-09-11,2029-02-23,Change from baseline in Alzheimer's Disease Assessment Scale-Cognitive Subscale 11 (ADAS-Cog11); Clinician's Interview-Based Impression Plus Caregiver Input (CIBIC+),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT07007208,https://clinicaltrials.gov/study/NCT07007208,"Biomarkers of the Locus Coeruleus Nucleus: Links With Early Tau Pathology, Cognition and Alzheimer's Disease Risk","Biomarkers of the Locus Coeruleus Nucleus: Links With Early Tau Pathology, Cognition and Alzheimer's Disease Risk.",RECRUITING,INTERVENTIONAL,PHASE2,DIAGNOSTIC,"Diagnostics, imaging, and biomarkers",Mixed or not specified,100,"University Hospital, Toulouse",a positon emission tomography (PET) exam; MRI Contrast; oculometry assessment; cognitive exams,Alzheimer Disease,France,False,1,1,False,True,2025-06-05,2026-07-17,2026-02-02,2029-01-31,2029-01-31,diagnostic capabilities of Locus Coeruleus biomarkers for a positive PET-Tau exam,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT07011732,https://clinicaltrials.gov/study/NCT07011732,A Phase 3 Study to Evaluate the Safety and Efficacy of KarXT + KarX-EC for the Treatment of Agitation Associated With Alzheimer's Disease (ADAGIO-1),"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Parallel Group Study to Evaluate the Safety and Efficacy of KarXT + KarX-EC for the Treatment of Agitation Associated With Alzheimer's Disease",RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,"Care, behavior, and quality of life",Care partners or care systems,426,Bristol-Myers Squibb,Xanomeline/Trospium Chloride Capsule; Xanomeline Enteric Capsule; Placebo,Alzheimer Disease,Argentina; Brazil; Bulgaria; Canada; China; Croatia; Greece; India; Japan; Mexico; Portugal; Romania; Spain; Taiwan; United States,True,15,158,True,True,2025-06-10,2026-07-13,2025-07-10,2028-11-24,2028-12-08,Change from baseline on the Cohen-Mansfield Agitation Inventory-International Psychogeriatric Association (CMAI-IPA) Total Score at Week 14,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT07011745,https://clinicaltrials.gov/study/NCT07011745,A Phase 3 Study to Evaluate the Safety and Efficacy of KarXT + KarX-EC for the Treatment of Agitation Associated With Alzheimer's Disease (ADAGIO-2),"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Parallel Group Study to Evaluate the Safety and Efficacy of KarXT + KarX-EC for the Treatment of Agitation Associated With Alzheimer's Disease",RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,"Care, behavior, and quality of life",Care partners or care systems,352,Bristol-Myers Squibb,Xanomeline/Trospium Chloride Capsule; Xanomeline Enteric Capsule; Placebo,Alzheimer Disease,Argentina; Chile; Czechia; France; Germany; Hungary; Israel; Italy; Poland; Puerto Rico; South Korea; Ukraine; United Kingdom; United States,True,14,145,True,True,2025-06-10,2026-06-25,2025-07-16,2028-11-03,2028-11-13,Change from baseline on the Cohen-Mansfield Agitation Inventory-International Psychogeriatric Association (CMAI-IPA) total score at Week 14,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT07021040,https://clinicaltrials.gov/study/NCT07021040,Olfactory Biopsies,Analysis of Human Olfactory Biopsies,RECRUITING,INTERVENTIONAL,NA,BASIC_SCIENCE,"Diagnostics, imaging, and biomarkers",Moderate or later dementia,125,Duke University,olfactory testing; Odor stimulation; Olfactory biopsy,Alzheimer Disease; Smell Loss; Smell Dysfunction,United States,True,1,1,False,True,2025-06-13,2026-06-12,2025-01-06,2029-04-30,2029-07-31,Transcription state changes in olfactory cells,"Last public update posted after June 10, 2026; historical status not reconstructed"
