nct_id,url,brief_title,official_title,overall_status,study_type,phase,primary_purpose,category,participant_stage,enrollment,lead_sponsor,interventions,conditions,countries,has_us_site,country_count,location_count,multinational,has_public_locations,study_first_post_date,last_update_post_date,start_date,primary_completion_date,completion_date,primary_outcomes,excluded_reason
NCT05040217,https://clinicaltrials.gov/study/NCT05040217,A Clinical Trial of AAV2-BDNF Gene Therapy in Early Alzheimer's Disease and Mild Cognitive Impairment,"A Phase I Study to Assess the Safety, Tolerability and Preliminary Efficacy of AAV2-BDNF [Adeno-Associated Virus (AAV)-Based, Vector-Mediated Delivery of Human Brain Derived Neurotrophic Factor] in Subjects With Early Alzheimer's Disease and Mild Cognitive Impairment",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE1,TREATMENT,Synapses and neuronal communication,Care partners or care systems,12,Mark Tuszynski,AAV2-BDNF Gene Therapy; AAV2-BDNF Gene Therapy,Alzheimer's Disease; Mild Cognitive Impairment,United States,True,1,2,False,True,2021-09-10,2026-07-10,2022-02-07,2028-07-01,2028-07-01,Safety as assessed by mumber of participants with treatment-related adverse events assessed on MRI scan; Memory change tested on Ray Auditory Verbal Learning Task; Memory change tested on Benson Complex Figure Draw and Memory,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05139290,https://clinicaltrials.gov/study/NCT05139290,DECIDE: Dyads and Families,Decision-Making Experiences for Culturally Inclusive Dementia Engagement: Dyads and Families (DECIDE: Dyads and Families),ENROLLING_BY_INVITATION,INTERVENTIONAL,NA,SUPPORTIVE_CARE,"Care, behavior, and quality of life",Care partners or care systems,40,Emory University,Prototype Intervention,Dementia; Alzheimer Disease; Caregiver Burden,United States,True,1,4,False,True,2021-12-01,2026-07-17,2022-07-15,2027-08-31,2027-08-31,Participant retention; Usability of Intervention; Percentage of recruitment goal achieved,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05231785,https://clinicaltrials.gov/study/NCT05231785,A Study to Evaluate the Safety and Tolerability of ALN-APP in Patients With EOAD,"A Randomized, Double-blind, Placebo-controlled Single Ascending Dose and Open-label Multi-dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Intrathecally Administered ALN-APP in Adult Patients With Early-onset Alzheimer's Disease (EOAD)",RECRUITING,INTERVENTIONAL,PHASE1,TREATMENT,Other interventional treatment research,MCI or prodromal Alzheimer’s,60,Alnylam Pharmaceuticals,ALN-APP; Placebo,Early-Onset Alzheimer Disease,Canada; Netherlands; United Kingdom; United States,True,4,8,True,True,2022-02-09,2026-07-15,2022-02-04,2029-04-20,2029-04-20,Part A: Frequency of Adverse Events; Part B: Frequency of Adverse Events,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05231798,https://clinicaltrials.gov/study/NCT05231798,"Cholinergic Integrity in Down Syndrome in Association With Aging, Alzheimer's Disease Pathology, and Cognition","Cholinergic Integrity in Down Syndrome in Association With Aging, Alzheimer's Disease Pathology, and Cognition",RECRUITING,INTERVENTIONAL,PHASE2,OTHER,"Diagnostics, imaging, and biomarkers",Care partners or care systems,30,Vanderbilt University Medical Center,[18F]-FEOBV Radiotracer,"Down Syndrome; Down Syndrome, Partial Trisomy 21; Alzheimer Disease",United States,True,1,1,False,True,2022-02-09,2026-06-22,2021-08-19,2027-04-30,2027-04-30,[18F]-FEOBV radiotracer standardized uptake value ratio correlation with the Basal Forebrain Cholinergic System Volume.,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05269394,https://clinicaltrials.gov/study/NCT05269394,Dominantly Inherited Alzheimer Network Trial: An Opportunity to Prevent Dementia. A Study of Potential Disease Modifying Treatments in Individuals With a Type of Early Onset Alzheimer's Disease Caused by a Genetic Mutation (DIAN-TU),"A Phase II/III Multicenter Randomized, Double-Blind, Placebo-Controlled Platform Trial of Potential Disease Modifying Therapies Utilizing Biomarker, Cognitive, and Clinical Endpoints in Dominantly Inherited Alzheimer's Disease",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2+PHASE3,TREATMENT,Synapses and neuronal communication,MCI or prodromal Alzheimer’s,197,Washington University School of Medicine,E2814; Lecanemab; Matching Placebo (E2814),"Alzheimers Disease; Dementia; Alzheimers Disease, Familial",Argentina; Australia; Brazil; Canada; Colombia; France; Germany; Ireland; Italy; Japan; Mexico; Netherlands; Puerto Rico; Spain; United Kingdom; United States,True,16,36,True,True,2022-03-08,2026-07-27,2021-12-22,2028-04,2028-07,The primary end point is the change from Week 24 to Week 104 and Week 208 in tau PET in the Symptomatic Population (Cohort 1).,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05282550,https://clinicaltrials.gov/study/NCT05282550,Targeting Cognition in Early Alzheimer's Disease by Improving Sleep With Trazodone,RCT Targeting Cognition in Early Alzheimer's Disease by Improving Sleep With Trazodone (REST),RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,"Care, behavior, and quality of life",MCI or prodromal Alzheimer’s,100,Johns Hopkins University,Trazodone; Placebo,AMCI - Amnestic Mild Cognitive Impairment; Sleep Disturbance,United States,True,1,1,False,True,2022-03-16,2026-06-17,2023-02-02,2027-07-30,2028-06-30,Change in total sleep duration between the treatment arms; Change in Slow Wave Sleep (SWS) duration between the treatment arms; Change in SWS intensity between the treatment arms,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05331144,https://clinicaltrials.gov/study/NCT05331144,"Impact of Intensive Treatment of SBP on Brain Perfusion, Amyloid, and Tau (IPAT Study)","Impact of Intensive Treatment of Systolic Blood Pressure on Brain Perfusion, Amyloid, and Tau in Older Adults (IPAT Study)",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2,PREVENTION,"Diagnostics, imaging, and biomarkers",Subjective cognitive concerns,180,Rong Zhang,"Angiotensin II Receptor Blockers (ARBs, losartan) and Calcium Channel Blockers (CCB, amlodipine); PCP",Cognitively Normal Older Adults; Hypertension; Subjective Cognitive Decline; Family History of Dementia,United States,True,1,1,False,True,2022-04-15,2026-07-21,2022-10-25,2028-06-01,2028-08-31,Change From Baseline in Brain Fibrillar Beta-Amyloid Protein (Aβ),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05399888,https://clinicaltrials.gov/study/NCT05399888,A Study to Learn About the Safety of Diranersen (BIIB080) Injections and Whether They Can Improve Symptoms of Participants With Mild Cognitive Impairment Due to Alzheimer's Disease (AD) or Mild AD Dementia Between 50 to 80 Years of Age,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Assess the Efficacy, Safety, and Tolerability of BIIB080 in Subjects With Mild Cognitive Impairment Due to Alzheimer's Disease or Mild Alzheimer's Disease Dementia",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,"Diagnostics, imaging, and biomarkers",Care partners or care systems,416,Biogen,Diranersen; Diranersen-matching placebo,Mild Cognitive Impairment Due to Alzheimer's Disease; Alzheimer's Disease Dementia,Australia; Belgium; Canada; Czechia; Denmark; Finland; France; Germany; Italy; Japan; Netherlands; Poland; Spain; Sweden; Switzerland; United Kingdom; United States,True,17,138,True,True,2022-06-01,2026-06-30,2022-08-24,2026-03-11,2028-06-06,Dose response in Change From Baseline to Week 76 on the CDR-SB,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05446584,https://clinicaltrials.gov/study/NCT05446584,Pathways Relating Amnestic MCI to a Mild Traumatic Brain Injury History,Pathways Relating Amnestic MCI to a Mild Traumatic Brain Injury History,RECRUITING,INTERVENTIONAL,PHASE2,DIAGNOSTIC,"Diagnostics, imaging, and biomarkers",MCI or prodromal Alzheimer’s,75,University of Texas Southwestern Medical Center,High Definition Transcranial Direct Current Stimulation,"Mild Cognitive Impairment; Amnestic Mild Cognitive Disorder; Amnestic Mild Cognitive Impairment; Mild Traumatic Brain Injury; Concussion, Brain",United States,True,1,1,False,True,2022-07-06,2026-07-20,2023-04-20,2027-05-01,2027-05-31,Changes in Rey Auditory Verbal Learning Test Score,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05452031,https://clinicaltrials.gov/study/NCT05452031,A Dyadic Sleep Health Approach for Persons With Alzheimer's Disease and Caregivers,A Dyadic Approach to Improve Sleep and Well-Being Among Persons With Alzheimer's Disease and Their Caregivers,RECRUITING,INTERVENTIONAL,NA,SUPPORTIVE_CARE,"Care, behavior, and quality of life",Care partners or care systems,672,"University of California, Los Angeles",Care2Sleep; Sleep Education,Sleep,United States,True,1,3,False,True,2022-07-11,2026-06-18,2022-11-09,2027-05-31,2027-08-31,Sleep efficiency-Actigraphy; Pittsburgh Sleep Quality Index score,"Last public update posted after June 10, 2026; historical status not reconstructed"
